Event number,Picked arrival,Tag,Arrival type,IRIS Event ID,file,file_start
1,2018-11-18 20:32:00.000,DET,body,10972756,data\DonneesB23\2018-11\2018-11-18\2018-11-18T01_22_16.875000,2018-11-18 01:22:16
2,2018-11-30 17:42:00.000,DET,body,10976411,data\DonneesB23\2018-11\2018-11-30\2018-11-30T07_31_32.525000,2018-11-30 07:31:32
3,2018-12-05 04:26:35.000,DET,body,10980271,data\DonneesB23\2018-12\2018-12-02\2018-12-02T02_26_15.475000,2018-12-02 02:26:15
4,2018-12-11 02:38:40.000,DET,body,10983619,data\DonneesB23\2018-12\2018-12-07\2018-12-07T20_15_43.175000,2018-12-07 20:15:43
5,2018-12-23 23:14:45.000,DET,body,10988734,data\DonneesB23\2018-12\2018-12-23\2018-12-23T20_19_50.050000,2018-12-23 20:19:50
6,2019-01-20 01:43:00.000,DET,body,10997608,data\DonneesB23\2019-01\2019-01-19\2019-01-19T06_10_52.100000,2019-01-19 06:10:52
7,2019-02-22 10:27:55.000,DET,body,11007849,data\DonneesB23\2019-02\2019-02-22\2019-02-22T00_23_05.800000,2019-02-22 00:23:05
8,2019-03-01 09:01:00.000,DET,body,11010219,data\DonneesB23\2019-02\2019-02-23\2019-02-23T23_20_53.325000,2019-02-23 23:20:53
9,2019-05-06 21:30:30.000,DET,body,11034341,data\DonneesB23\2019-05\2019-05-02\2019-05-02T01_01_11.475000,2019-05-02 01:01:11
10,2019-05-26 07:52:10.000,DET,body,11041250,data\DonneesB23\2019-05\2019-05-25\2019-05-25T22_00_41.675000,2019-05-25 22:00:41
11,2018-10-10 20:59:00.000,REQ,body,10957936,data\DonneesB23\2018-10\2018-10-09\2018-10-09T02_53_18.375000,2018-10-09 02:53:18
12,2018-10-10 23:29:00.000,REQ,body,10957985,data\DonneesB23\2018-10\2018-10-09\2018-10-09T02_53_18.375000,2018-10-09 02:53:18
13,2018-10-16 00:36:35.000,REQ,body,10959899,data\DonneesB23\2018-10\2018-10-15\2018-10-15T11_56_13.075000,2018-10-15 11:56:13
14,2018-10-16 01:12:00.000,REQ,body,10959905,data\DonneesB23\2018-10\2018-10-15\2018-10-15T11_56_13.075000,2018-10-15 11:56:13
15,2018-11-15 20:14:40.000,REQ,body,10971760,data\DonneesB23\2018-11\2018-11-15\2018-11-15T01_25_46.425000,2018-11-15 01:25:46
16,2018-12-29 03:52:20.000,REQ,body,10990548,data\DonneesB23\2018-12\2018-12-26\2018-12-26T15_29_46.525000,2018-12-26 15:29:46
17,2019-01-06 17:40:25.000,REQ,body,10993072,data\DonneesB23\2019-01\2019-01-06\2019-01-06T05_37_57.300000,2019-01-06 05:37:57
18,2019-01-22 05:24:30.000,REQ,body,10998150,data\DonneesB23\2019-01\2019-01-21\2019-01-21T10_38_10.900000,2019-01-21 10:38:10
19,2019-03-06 15:52:30.000,REQ,body,11011889,data\DonneesB23\2019-03\2019-03-02\2019-03-02T15_16_17.775000,2019-03-02 15:16:17
20,2019-04-02 21:48:00.000,REQ,body,11021706,data\DonneesB23\2019-04\2019-04-02\2019-04-02T06_37_22.550000,2019-04-02 06:37:22
21,2018-09-16 21:18:05.000,***,body,10948555,data\DonneesB23\2018-09\2018-09-15\2018-09-15T15_22_36.400000,2018-09-15 15:22:36
22,2018-09-28 10:16:30.000,***,body,10953070,data\DonneesB23\2018-09\2018-09-27\2018-09-27T02_54_39.100000,2018-09-27 02:54:39
